Country,Product_type,Month,US Total
United States,Crude oil,2012-01-01,6177.0
United States,Crude oil,2012-02-01,6268.0
United States,Crude oil,2012-03-01,6327.0
United States,Crude oil,2012-04-01,6320.0
United States,Crude oil,2012-05-01,6370.0
United States,Crude oil,2012-06-01,6275.0
United States,Crude oil,2012-07-01,6431.0
United States,Crude oil,2012-08-01,6351.0
United States,Crude oil,2012-09-01,6598.0
United States,Crude oil,2012-10-01,6970.0
United States,Crude oil,2012-11-01,7082.0
United States,Crude oil,2012-12-01,7106.0
United States,Crude oil,2013-01-01,7083.0
United States,Crude oil,2013-02-01,7145.0
United States,Crude oil,2013-03-01,7214.0
United States,Crude oil,2013-04-01,7374.0
United States,Crude oil,2013-05-01,7326.0
United States,Crude oil,2013-06-01,7277.0
United States,Crude oil,2013-07-01,7522.0
United States,Crude oil,2013-08-01,7534.0
United States,Crude oil,2013-09-01,7838.0
United States,Crude oil,2013-10-01,7760.0
United States,Crude oil,2013-11-01,7919.0
United States,Crude oil,2013-12-01,7932.0
United States,Crude oil,2014-01-01,8077.0
United States,Crude oil,2014-02-01,8141.0
United States,Crude oil,2014-03-01,8296.0
United States,Crude oil,2014-04-01,8526.0
United States,Crude oil,2014-05-01,8645.0
United States,Crude oil,2014-06-01,8742.0
United States,Crude oil,2014-07-01,8846.0
United States,Crude oil,2014-08-01,8931.0
United States,Crude oil,2014-09-01,9086.0
United States,Crude oil,2014-10-01,9265.0
United States,Crude oil,2014-11-01,9324.0
United States,Crude oil,2014-12-01,9563.0
United States,Crude oil,2015-01-01,9383.0
United States,Crude oil,2015-02-01,9490.0
United States,Crude oil,2015-03-01,9583.0
United States,Crude oil,2015-04-01,9658.0
United States,Crude oil,2015-05-01,9474.0
United States,Crude oil,2015-06-01,9357.0
United States,Crude oil,2015-07-01,9445.0
United States,Crude oil,2015-08-01,9409.0
United States,Crude oil,2015-09-01,9477.0
United States,Crude oil,2015-10-01,9399.0
United States,Crude oil,2015-11-01,9332.0
United States,Crude oil,2015-12-01,9275.0
United States,Crude oil,2016-01-01,9201.0
United States,Crude oil,2016-02-01,9060.0
United States,Crude oil,2016-03-01,9100.0
United States,Crude oil,2016-04-01,8873.0
United States,Crude oil,2016-05-01,8834.0
United States,Crude oil,2016-06-01,8675.0
United States,Crude oil,2016-07-01,8661.0
United States,Crude oil,2016-08-01,8689.0
United States,Crude oil,2016-09-01,8543.0
United States,Crude oil,2016-10-01,8803.0
United States,Crude oil,2016-11-01,8902.0
United States,Crude oil,2016-12-01,8815.0
United States,Crude oil,2017-01-01,8874.0
United States,Crude oil,2017-02-01,9094.0
United States,Crude oil,2017-03-01,9164.0
United States,Crude oil,2017-04-01,9101.0
United States,Crude oil,2017-05-01,9185.0
United States,Crude oil,2017-06-01,9110.0
United States,Crude oil,2017-07-01,9246.0
United States,Crude oil,2017-08-01,9250.0
United States,Crude oil,2017-09-01,9516.0
United States,Crude oil,2017-10-01,9668.0
United States,Crude oil,2017-11-01,10085.0
United States,Crude oil,2017-12-01,9983.0
United States,Crude oil,2018-01-01,10000.0
United States,Crude oil,2018-02-01,10262.0
United States,Crude oil,2018-03-01,10466.0
United States,Crude oil,2018-04-01,10499.0
United States,Crude oil,2018-05-01,10434.0
United States,Crude oil,2018-06-01,10640.0
United States,Crude oil,2018-07-01,10896.0
United States,Crude oil,2018-08-01,11391.0
United States,Crude oil,2018-09-01,11443.0
United States,Crude oil,2018-10-01,11508.0
United States,Crude oil,2018-11-01,11885.0
United States,Crude oil,2018-12-01,11944.0
United States,Crude oil,2019-01-01,11871.0
United States,Crude oil,2019-02-01,11652.0
United States,Crude oil,2019-03-01,11911.0
United States,Crude oil,2019-04-01,12145.0
United States,Crude oil,2019-05-01,12153.0
United States,Crude oil,2019-06-01,12216.0
United States,Crude oil,2019-07-01,11896.0
United States,Crude oil,2019-08-01,12479.0
United States,Crude oil,2019-09-01,12584.0
United States,Crude oil,2019-10-01,12805.0
United States,Crude oil,2019-11-01,13000.0
United States,Crude oil,2019-12-01,12980.0
United States,Crude oil,2020-01-01,12850.0
United States,Crude oil,2020-02-01,12844.0
United States,Crude oil,2020-03-01,12795.0
United States,Crude oil,2020-04-01,11911.0
United States,Crude oil,2020-05-01,9714.0
United States,Crude oil,2020-06-01,10446.0
United States,Crude oil,2020-07-01,11004.0
United States,Crude oil,2020-08-01,10579.0
United States,Crude oil,2020-09-01,10926.0
United States,Crude oil,2020-10-01,10456.0
United States,Crude oil,2020-11-01,11196.0
United States,Crude oil,2020-12-01,11172.0
United States,Crude oil,2021-01-01,11137.0
United States,Crude oil,2021-02-01,9916.0
United States,Crude oil,2021-03-01,11351.0
United States,Crude oil,2021-04-01,11318.0
United States,Crude oil,2021-05-01,11390.0
United States,Crude oil,2021-06-01,11366.0
United States,Crude oil,2021-07-01,11392.0
United States,Crude oil,2021-08-01,11276.0
United States,Crude oil,2021-09-01,10921.0
United States,Crude oil,2021-10-01,11564.0
United States,Crude oil,2021-11-01,11782.0
United States,Crude oil,2021-12-01,11678.0
United States,Crude oil,2022-01-01,11480.0
United States,Crude oil,2022-02-01,11258.0
United States,Crude oil,2022-03-01,11806.0
United States,Crude oil,2022-04-01,11770.0
United States,Crude oil,2022-05-01,11734.0
United States,Crude oil,2022-06-01,11800.0
United States,Crude oil,2022-07-01,11834.0
United States,Crude oil,2022-08-01,11985.0
United States,Crude oil,2022-09-01,12325.0
United States,Crude oil,2022-10-01,12378.0
United States,Crude oil,2022-11-01,12376.0
United States,Crude oil,2022-12-01,12138.0
United States,Crude oil,2023-01-01,12568.0
United States,Crude oil,2023-02-01,12532.0
United States,Crude oil,2023-03-01,12770.0
United States,Crude oil,2023-04-01,12650.0
United States,Crude oil,2023-05-01,12694.0
United States,Crude oil,2023-06-01,12844.0
United States,Crude oil,2023-07-01,12991.0
United States,Crude oil,2023-08-01,12758.0
United States,NGL,2002-01-01,
United States,NGL,2002-02-01,
United States,NGL,2002-03-01,
United States,NGL,2002-04-01,
United States,NGL,2002-05-01,
United States,NGL,2002-06-01,
United States,NGL,2002-07-01,
United States,NGL,2002-08-01,
United States,NGL,2002-09-01,
United States,NGL,2002-10-01,
United States,NGL,2002-11-01,
United States,NGL,2002-12-01,
United States,NGL,2003-01-01,
United States,NGL,2003-02-01,
United States,NGL,2003-03-01,
United States,NGL,2003-04-01,
United States,NGL,2003-05-01,
United States,NGL,2003-06-01,
United States,NGL,2003-07-01,
United States,NGL,2003-08-01,
United States,NGL,2003-09-01,
United States,NGL,2003-10-01,
United States,NGL,2003-11-01,
United States,NGL,2003-12-01,
United States,NGL,2004-01-01,
United States,NGL,2004-02-01,
United States,NGL,2004-03-01,
United States,NGL,2004-04-01,
United States,NGL,2004-05-01,
United States,NGL,2004-06-01,
United States,NGL,2004-07-01,
United States,NGL,2004-08-01,
United States,NGL,2004-09-01,
United States,NGL,2004-10-01,
United States,NGL,2004-11-01,
United States,NGL,2004-12-01,
United States,NGL,2005-01-01,
United States,NGL,2005-02-01,
United States,NGL,2005-03-01,
United States,NGL,2005-04-01,
United States,NGL,2005-05-01,
United States,NGL,2005-06-01,
United States,NGL,2005-07-01,
United States,NGL,2005-08-01,
United States,NGL,2005-09-01,
United States,NGL,2005-10-01,
United States,NGL,2005-11-01,
United States,NGL,2005-12-01,
United States,NGL,2006-01-01,
United States,NGL,2006-02-01,
United States,NGL,2006-03-01,
United States,NGL,2006-04-01,
United States,NGL,2006-05-01,
United States,NGL,2006-06-01,
United States,NGL,2006-07-01,
United States,NGL,2006-08-01,
United States,NGL,2006-09-01,
United States,NGL,2006-10-01,
United States,NGL,2006-11-01,
United States,NGL,2006-12-01,
United States,NGL,2007-01-01,
United States,NGL,2007-02-01,
United States,NGL,2007-03-01,
United States,NGL,2007-04-01,
United States,NGL,2007-05-01,
United States,NGL,2007-06-01,
United States,NGL,2007-07-01,
United States,NGL,2007-08-01,
United States,NGL,2007-09-01,
United States,NGL,2007-10-01,
United States,NGL,2007-11-01,
United States,NGL,2007-12-01,
United States,NGL,2008-01-01,
United States,NGL,2008-02-01,
United States,NGL,2008-03-01,
United States,NGL,2008-04-01,
United States,NGL,2008-05-01,
United States,NGL,2008-06-01,
United States,NGL,2008-07-01,
United States,NGL,2008-08-01,
United States,NGL,2008-09-01,
United States,NGL,2008-10-01,
United States,NGL,2008-11-01,
United States,NGL,2008-12-01,
United States,NGL,2009-01-01,1711.0
United States,NGL,2009-02-01,1824.0
United States,NGL,2009-03-01,1891.0
United States,NGL,2009-04-01,1888.0
United States,NGL,2009-05-01,1954.0
United States,NGL,2009-06-01,1927.0
United States,NGL,2009-07-01,1908.0
United States,NGL,2009-08-01,1920.0
United States,NGL,2009-09-01,1962.0
United States,NGL,2009-10-01,1976.0
United States,NGL,2009-11-01,1996.0
United States,NGL,2009-12-01,1959.0
United States,NGL,2010-01-01,2017.0
United States,NGL,2010-02-01,2043.0
United States,NGL,2010-03-01,2076.0
United States,NGL,2010-04-01,2061.0
United States,NGL,2010-05-01,2091.0
United States,NGL,2010-06-01,2046.0
United States,NGL,2010-07-01,1994.0
United States,NGL,2010-08-01,2071.0
United States,NGL,2010-09-01,2104.0
United States,NGL,2010-10-01,2125.0
United States,NGL,2010-11-01,2136.0
United States,NGL,2010-12-01,2124.0
United States,NGL,2011-01-01,2114.0
United States,NGL,2011-02-01,2009.0
United States,NGL,2011-03-01,2195.0
United States,NGL,2011-04-01,2186.0
United States,NGL,2011-05-01,2234.0
United States,NGL,2011-06-01,2188.0
United States,NGL,2011-07-01,2206.0
United States,NGL,2011-08-01,2227.0
United States,NGL,2011-09-01,2171.0
United States,NGL,2011-10-01,2313.0
United States,NGL,2011-11-01,2373.0
United States,NGL,2011-12-01,2358.0
United States,NGL,2012-01-01,2384.0
United States,NGL,2012-02-01,2401.0
United States,NGL,2012-03-01,2385.0
United States,NGL,2012-04-01,2379.0
United States,NGL,2012-05-01,2393.0
United States,NGL,2012-06-01,2338.0
United States,NGL,2012-07-01,2327.0
United States,NGL,2012-08-01,2371.0
United States,NGL,2012-09-01,2462.0
United States,NGL,2012-10-01,2507.0
United States,NGL,2012-11-01,2536.0
United States,NGL,2012-12-01,2415.0
United States,NGL,2013-01-01,2379.0
United States,NGL,2013-02-01,2490.0
United States,NGL,2013-03-01,2485.0
United States,NGL,2013-04-01,2513.0
United States,NGL,2013-05-01,2556.0
United States,NGL,2013-06-01,2542.0
United States,NGL,2013-07-01,2618.0
United States,NGL,2013-08-01,2715.0
United States,NGL,2013-09-01,2791.0
United States,NGL,2013-10-01,2766.0
United States,NGL,2013-11-01,2747.0
United States,NGL,2013-12-01,2660.0
United States,NGL,2014-01-01,2695.0
United States,NGL,2014-02-01,2710.0
United States,NGL,2014-03-01,2829.0
United States,NGL,2014-04-01,2950.0
United States,NGL,2014-05-01,2956.0
United States,NGL,2014-06-01,3094.0
United States,NGL,2014-07-01,3115.0
United States,NGL,2014-08-01,3142.0
United States,NGL,2014-09-01,3195.0
United States,NGL,2014-10-01,3196.0
United States,NGL,2014-11-01,3115.0
United States,NGL,2014-12-01,3156.0
United States,NGL,2015-01-01,3055.0
United States,NGL,2015-02-01,3162.0
United States,NGL,2015-03-01,3237.0
United States,NGL,2015-04-01,3375.0
United States,NGL,2015-05-01,3337.0
United States,NGL,2015-06-01,3319.0
United States,NGL,2015-07-01,3355.0
United States,NGL,2015-08-01,3419.0
United States,NGL,2015-09-01,3437.0
United States,NGL,2015-10-01,3489.0
United States,NGL,2015-11-01,3498.0
United States,NGL,2015-12-01,3417.0
United States,NGL,2016-01-01,3345.0
United States,NGL,2016-02-01,3369.0
United States,NGL,2016-03-01,3556.0
United States,NGL,2016-04-01,3570.0
United States,NGL,2016-05-01,3672.0
United States,NGL,2016-06-01,3662.0
United States,NGL,2016-07-01,3604.0
United States,NGL,2016-08-01,3410.0
United States,NGL,2016-09-01,3427.0
United States,NGL,2016-10-01,3544.0
United States,NGL,2016-11-01,3596.0
United States,NGL,2016-12-01,3352.0
United States,NGL,2017-01-01,3395.0
United States,NGL,2017-02-01,3633.0
United States,NGL,2017-03-01,3685.0
United States,NGL,2017-04-01,3682.0
United States,NGL,2017-05-01,3771.0
United States,NGL,2017-06-01,3807.0
United States,NGL,2017-07-01,3822.0
United States,NGL,2017-08-01,3764.0
United States,NGL,2017-09-01,3731.0
United States,NGL,2017-10-01,4020.0
United States,NGL,2017-11-01,4106.0
United States,NGL,2017-12-01,3969.0
United States,NGL,2018-01-01,3853.0
United States,NGL,2018-02-01,4060.0
United States,NGL,2018-03-01,4200.0
United States,NGL,2018-04-01,4286.0
United States,NGL,2018-05-01,4352.0
United States,NGL,2018-06-01,4337.0
United States,NGL,2018-07-01,4452.0
United States,NGL,2018-08-01,4602.0
United States,NGL,2018-09-01,4638.0
United States,NGL,2018-10-01,4588.0
United States,NGL,2018-11-01,4563.0
United States,NGL,2018-12-01,4483.0
United States,NGL,2019-01-01,4554.0
United States,NGL,2019-02-01,4713.0
United States,NGL,2019-03-01,4729.0
United States,NGL,2019-04-01,4790.0
United States,NGL,2019-05-01,4840.0
United States,NGL,2019-06-01,4795.0
United States,NGL,2019-07-01,4707.0
United States,NGL,2019-08-01,4766.0
United States,NGL,2019-09-01,4990.0
United States,NGL,2019-10-01,5022.0
United States,NGL,2019-11-01,4994.0
United States,NGL,2019-12-01,4992.0
United States,NGL,2020-01-01,5145.0
United States,NGL,2020-02-01,4965.0
United States,NGL,2020-03-01,5253.0
United States,NGL,2020-04-01,4934.0
United States,NGL,2020-05-01,4745.0
United States,NGL,2020-06-01,5197.0
United States,NGL,2020-07-01,5369.0
United States,NGL,2020-08-01,5325.0
United States,NGL,2020-09-01,5309.0
United States,NGL,2020-10-01,5299.0
United States,NGL,2020-11-01,5323.0
United States,NGL,2020-12-01,5060.0
United States,NGL,2021-01-01,5188.0
United States,NGL,2021-02-01,4215.0
United States,NGL,2021-03-01,5116.0
United States,NGL,2021-04-01,5443.0
United States,NGL,2021-05-01,5461.0
United States,NGL,2021-06-01,5474.0
United States,NGL,2021-07-01,5455.0
United States,NGL,2021-08-01,5568.0
United States,NGL,2021-09-01,5540.0
United States,NGL,2021-10-01,5713.0
United States,NGL,2021-11-01,5768.0
United States,NGL,2021-12-01,5733.0
United States,NGL,2022-01-01,5446.0
United States,NGL,2022-02-01,5475.0
United States,NGL,2022-03-01,5909.0
United States,NGL,2022-04-01,5877.0
United States,NGL,2022-05-01,5913.0
United States,NGL,2022-06-01,5982.0
United States,NGL,2022-07-01,6144.0
United States,NGL,2022-08-01,6031.0
United States,NGL,2022-09-01,6096.0
United States,NGL,2022-10-01,6118.0
United States,NGL,2022-11-01,6066.0
United States,NGL,2022-12-01,5514.0
United States,NGL,2023-01-01,5850.0
United States,NGL,2023-02-01,5961.0
United States,NGL,2023-03-01,6211.0
United States,NGL,2023-04-01,6373.0
United States,NGL,2023-05-01,6376.0
United States,NGL,2023-06-01,6527.0
United States,NGL,2023-07-01,6445.0
United States,NGL,2023-08-01,6375.0
United States,Other,2002-01-01,
United States,Other,2002-02-01,
United States,Other,2002-03-01,
United States,Other,2002-04-01,
United States,Other,2002-05-01,
United States,Other,2002-06-01,
United States,Other,2002-07-01,
United States,Other,2002-08-01,
United States,Other,2002-09-01,
United States,Other,2002-10-01,
United States,Other,2002-11-01,
United States,Other,2002-12-01,
United States,Other,2003-01-01,
United States,Other,2003-02-01,
United States,Other,2003-03-01,
United States,Other,2003-04-01,
United States,Other,2003-05-01,
United States,Other,2003-06-01,
United States,Other,2003-07-01,
United States,Other,2003-08-01,
United States,Other,2003-09-01,
United States,Other,2003-10-01,
United States,Other,2003-11-01,
United States,Other,2003-12-01,
United States,Other,2004-01-01,
United States,Other,2004-02-01,
United States,Other,2004-03-01,
United States,Other,2004-04-01,
United States,Other,2004-05-01,
United States,Other,2004-06-01,
United States,Other,2004-07-01,
United States,Other,2004-08-01,
United States,Other,2004-09-01,
United States,Other,2004-10-01,
United States,Other,2004-11-01,
United States,Other,2004-12-01,
United States,Other,2005-01-01,
United States,Other,2005-02-01,
United States,Other,2005-03-01,
United States,Other,2005-04-01,
United States,Other,2005-05-01,
United States,Other,2005-06-01,
United States,Other,2005-07-01,
United States,Other,2005-08-01,
United States,Other,2005-09-01,
United States,Other,2005-10-01,
United States,Other,2005-11-01,
United States,Other,2005-12-01,
United States,Other,2006-01-01,
United States,Other,2006-02-01,
United States,Other,2006-03-01,
United States,Other,2006-04-01,
United States,Other,2006-05-01,
United States,Other,2006-06-01,
United States,Other,2006-07-01,
United States,Other,2006-08-01,
United States,Other,2006-09-01,
United States,Other,2006-10-01,
United States,Other,2006-11-01,
United States,Other,2006-12-01,
United States,Other,2007-01-01,
United States,Other,2007-02-01,
United States,Other,2007-03-01,
United States,Other,2007-04-01,
United States,Other,2007-05-01,
United States,Other,2007-06-01,
United States,Other,2007-07-01,
United States,Other,2007-08-01,
United States,Other,2007-09-01,
United States,Other,2007-10-01,
United States,Other,2007-11-01,
United States,Other,2007-12-01,
United States,Other,2008-01-01,
United States,Other,2008-02-01,
United States,Other,2008-03-01,
United States,Other,2008-04-01,
United States,Other,2008-05-01,
United States,Other,2008-06-01,
United States,Other,2008-07-01,
United States,Other,2008-08-01,
United States,Other,2008-09-01,
United States,Other,2008-10-01,
United States,Other,2008-11-01,
United States,Other,2008-12-01,
United States,Other,2009-01-01,831.3
United States,Other,2009-02-01,813.7
United States,Other,2009-03-01,854.0
United States,Other,2009-04-01,832.8
United States,Other,2009-05-01,861.0
United States,Other,2009-06-01,908.1
United States,Other,2009-07-01,926.2
United States,Other,2009-08-01,957.8
United States,Other,2009-09-01,945.2
United States,Other,2009-10-01,958.5
United States,Other,2009-11-01,995.0
United States,Other,2009-12-01,998.6
United States,Other,2010-01-01,1014.0
United States,Other,2010-02-01,1047.0
United States,Other,2010-03-01,1047.0
United States,Other,2010-04-01,1065.0
United States,Other,2010-05-01,1089.0
United States,Other,2010-06-01,1052.0
United States,Other,2010-07-01,1114.0
United States,Other,2010-08-01,1095.0
United States,Other,2010-09-01,1102.0
United States,Other,2010-10-01,1103.0
United States,Other,2010-11-01,1179.0
United States,Other,2010-12-01,1167.0
United States,Other,2011-01-01,1166.0
United States,Other,2011-02-01,1129.0
United States,Other,2011-03-01,1169.0
United States,Other,2011-04-01,1155.0
United States,Other,2011-05-01,1141.0
United States,Other,2011-06-01,1157.0
United States,Other,2011-07-01,1137.0
United States,Other,2011-08-01,1190.0
United States,Other,2011-09-01,1146.0
United States,Other,2011-10-01,1171.0
United States,Other,2011-11-01,1218.0
United States,Other,2011-12-01,1241.0
United States,Other,2012-01-01,1221.0
United States,Other,2012-02-01,1196.0
United States,Other,2012-03-01,1131.0
United States,Other,2012-04-01,1133.0
United States,Other,2012-05-01,1182.0
United States,Other,2012-06-01,1167.0
United States,Other,2012-07-01,1100.0
United States,Other,2012-08-01,1129.0
United States,Other,2012-09-01,1121.0
United States,Other,2012-10-01,1085.0
United States,Other,2012-11-01,1103.0
United States,Other,2012-12-01,1098.0
United States,Other,2013-01-01,1066.0
United States,Other,2013-02-01,1074.0
United States,Other,2013-03-01,1109.0
United States,Other,2013-04-01,1156.0
United States,Other,2013-05-01,1192.0
United States,Other,2013-06-01,1184.0
United States,Other,2013-07-01,1212.0
United States,Other,2013-08-01,1207.0
United States,Other,2013-09-01,1164.0
United States,Other,2013-10-01,1194.0
United States,Other,2013-11-01,1250.0
United States,Other,2013-12-01,1249.0
United States,Other,2014-01-01,52.42
United States,Other,2014-02-01,39.64
United States,Other,2014-03-01,54.9
United States,Other,2014-04-01,62.83
United States,Other,2014-05-01,61.26
United States,Other,2014-06-01,80.47
United States,Other,2014-07-01,63.45
United States,Other,2014-08-01,58.58
United States,Other,2014-09-01,41.53
United States,Other,2014-10-01,65.29
United States,Other,2014-11-01,50.5
United States,Other,2014-12-01,66.84
United States,Other,2015-01-01,55.03
United States,Other,2015-02-01,34.43
United States,Other,2015-03-01,29.23
United States,Other,2015-04-01,44.93
United States,Other,2015-05-01,85.26
United States,Other,2015-06-01,66.87
United States,Other,2015-07-01,74.03
United States,Other,2015-08-01,55.71
United States,Other,2015-09-01,64.63
United States,Other,2015-10-01,66.26
United States,Other,2015-11-01,79.7
United States,Other,2015-12-01,45.81
United States,Other,2016-01-01,66.06
United States,Other,2016-02-01,60.66
United States,Other,2016-03-01,59.77
United States,Other,2016-04-01,77.17
United States,Other,2016-05-01,82.45
United States,Other,2016-06-01,51.07
United States,Other,2016-07-01,71.32
United States,Other,2018-01-01,212.4
United States,Other,2019-07-01,-85.19
United States,Other,2020-08-01,1179.0
United States,Other,2023-08-01,1325.0
